"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"130";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,2";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:43:17"
"131";"р. Тобол, выше г. Ялуторовска, ПДК";"3,2";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,8";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:44:01"
"132";"р. Тобол, ниже г. Ялуторовска, ПДК";"3,1";"в пределах нормы";"в пределах нормы";"2,0";"7,6";"-";" ";" ";" ";" ";" ";"19.02.2016";"15.03.2016 16:44:55"
"133";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";"50,96";" ";"22.01.2016";"16.12.2020 12:22:10"
"134";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,2";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:08:43"
"135";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:10:11"
"136";"р. Ишим, в створе с. Ильинское, ПДК";"2,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:10:55"
"137";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,8";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:11:43"
"138";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:12:21"
"139";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:13:05"
"140";"р. Тобол, выше г. Ялуторовска, ПДК";"1,9";"в пределах нормы";"в пределах нормы";"2,0";"2,4";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:13:58"
"141";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,4";"-";" ";" ";" ";" ";" ";"22.01.2016";"15.03.2016 17:14:50"
"142";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"4,0";"1,2";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:22:39"
"143";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"2,2";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:23:32"
"144";"р. Тура, ниже г. Тюмени, ПДК";"2,0";"в пределах нормы";"в пределах нормы";"4,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:24:20"
"145";"р. Ишим, в створе с. Ильинское, ПДК";"1,4";"в пределах нормы";"в пределах нормы";"2,0";"1,6";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:54:36"
"146";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,0";"2,0";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:55:13"
"147";"р. Ишим, ниже г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,2";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:55:56"
"148";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"в пределах нормы";"2,8";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:56:47"
"149";"р. Тобол, выше г. Ялуторовска, ПДК";"2,2";"в пределах нормы";"в пределах нормы";"3,0";"3,2";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:58:28"
"150";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,2";"в пределах нормы";"в пределах нормы";"2,0";"4,0";"-";" ";" ";" ";" ";" ";"18.03.2016";"15.04.2016 09:59:23"
"151";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"40,29";" ";"22.04.2016";"16.12.2020 12:24:15"
"152";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"31,19";" ";"22.04.2016";"16.12.2020 12:24:32"
"153";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"38,03";" ";"22.04.2016";"16.12.2020 12:24:48"
"154";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:12:43"
"155";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:34:19"
"156";"р. Ишим, выше г. Ишима, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:35:38"
"157";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:36:34"
"158";"р. Ишим, в створе с. Абатское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:37:49"
"159";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"31,53";" ";"22.04.2016";"16.12.2020 12:28:30"
"160";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:53:59"
"161";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:54:40"
"162";"р. Тобол, в створе с. Иевлево, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.04.2016";"23.05.2016 12:56:09"
"163";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:46:38"
"164";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:48:19"
"165";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:49:45"
"166";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:50:57"
"167";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:53:21"
"168";"р. Ишим, выше г. Ишима, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:54:06"
"169";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:56:16"
"170";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:57:00"
"171";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:57:41"
"172";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:58:56"
"173";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 14:59:38"
"174";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2016";"08.06.2016 15:00:58"
"175";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"17.06.2016";"11.07.2016 14:47:22"
"176";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"17.06.2016";"11.07.2016 14:48:09"
"177";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"17.06.2016";"11.07.2016 14:48:53"
"178";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"17.06.2016";"11.07.2016 14:49:44"
"179";"р. Ишим, в створе с. Ильинское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"17.06.2016";"11.07.2016 14:53:09"
